daily [‘deili] a.每日的n.日报
dairy [‘dɛəri] n.牛奶场;乳制品
dam [dæm] n.水坝,水堤;障碍物
damage [‘dæmidʒ] vt.损害,毁坏n.损害
damp [dæmp] a.潮湿的,有湿气的
dance [dɑ:ns] vi.跳舞;摇晃n.舞
danger [‘deindʒə] n.危险;危险事物
dangerous [‘deindʒərəs] a.危险的,不安全的
dare [dɛə] vt.&aux.v.敢;竟敢
daring [‘deərɪŋ] a.大胆的,勇敢的
dark [dɑ:k] a.暗的;黑色的
darling [‘dɑ:liŋ] n.亲爱的人;宠儿
dash [dæʃ] vt.使猛撞;溅n.猛冲
data [‘deitə] n.数据;资料
date [deit] n.日期vt.注…日期
daughter [‘dɔ:tə] n.女儿
dawn [dɔ:n] n.黎明;开端vi.破晓
day [dei] n.(一)天,白昼,白天
daylight [‘deilait] n.白昼,日光;黎明
dead [ded] a.死的,无生命的
deadly [‘dedli] a.致命的,死一般的
deaf [def] a.聋的;不愿听的
deal [di:l] n.买卖;待遇vt.给予
dear [diə] a.亲爱的int.啊
death [deθ] n.死,死亡;灭亡
debate [di’beit] n.&vi.争论,辩论
debt [det] n.债,债务,欠债
decade [‘dekeid，dɪ’keɪd] n.十年,十年期
decay [di’kei] vi.腐烂;衰败n.腐烂
deceit [di’si:t] n.欺骗,欺诈
deceive [di’si:v] vt.欺骗,蒙蔽,行骗
December [di’sembə] n.十二月
decent [‘di:sənt，’diːsnt] a.正派的;体面的
decide [di’said] vt.决定,决心;解决
decision [di’siʒən] n.决定,决心;果断
deck [dek] n.甲板;舱面;层面
declare [di’klɛə] vt.断言;声明;表明
decorate [‘dekəreit] vt.装饰,装璜,修饰
decrease [di:’kri:s] vi.&n.减少,减少
deduce [di’dju:s] vt.演绎,推论,推断
deed [di:d] n.行为;功绩;契约
deep [di:p] a.深的;纵深的
deepen [‘di:pən] vt.加深vi.深化
deer [diə] n.鹿
defeat [di’fi:t] vt.战胜,击败;挫败
defect [di’fekt] n.缺点,缺陷,欠缺
defence [di’fens] n.防御;防务;辩护
defend [di’fend] vt.保卫,防守
define [di’fain] vt.给…下定义;限定
definite [‘definit] a.明确的;肯定的
definitely [‘definitli] ad.一定地,明确地
definition [defi’niʃən] n.定义,释义;定界
degree [di’ɡri:] n.程度;度;学位
delay [di’lei] vt.推迟;耽搁;延误
delete [di’li:t] vt.删除;擦掉
delegation [delɪ’geɪʃən] n.代表团
delicate [‘delikit] a.纤细的;易碎的
delicious [di’liʃəs] a.美味的,怡人的
delight [di’lait] n.快乐vt.使高兴
deliver [di’livə] vt.投递,送交;发表
delivery [di’livəri] n.投递;交付;分娩
demand [di’mɑ:nd] vt.要求;需要;询问
democracy [di’mɔkrəsi] n.民主,民主制
democratic [demə’krætik] a.民主的,民主政体的
demonstrate [‘demənstreit] vt.说明;论证;表露
dense [dens] a.密集的;浓厚的
density [‘densiti] n.密集,稠密;密度
deny [di’nai] vt.否定;拒绝相信
depart [di’pɑ:t] vi.离开,起程;出发
department [di’pɑ:tmənt] n.部,司,局,处,系
departure [di’pɑ:tʃə，dɪ’pɑːtʃə(r)] n.离开,出发,起程depend[di’pend]vi.依靠,依赖;相信
dependent [di’pendənt] a.依靠的,依赖的
deposit [di’pɔzit] vt.使沉淀;存放
depress [di’pres] vt.使沮丧;按下
depth [depθ] n.深度;深厚;深处
derive [di’raiv] vt.取得vi.起源
descend [di’send] vi.下来,下降;下倾
describe [dis’kraib] vt.形容;描写,描绘
description [dis’kripʃn] n.描写,形容;种类
desert [‘dezət] n.沙漠vt.离弃;擅离
deserve [di’zə:v] vt.应受,值得
design [di’zain] vt.设计n.设计;图样
desirable [di’zaiərəbl] a.值得相望的;可取的
desire [di’zaiə] vt.相望;要求n.愿望
desk [desk] n.书桌,办公桌
despair [dis’pɛə] n.绝望vi.绝望
desperate [‘despərit] a.拼死的;绝望的
despise [dis’paiz] vt.鄙视,蔑视
despite [dis’pait] prep.不管,不顾
destination [desti’neiʃən] n.目的地,终点;目标
destroy [dis’trɔi] vt.破坏;消灭;打破
destruction [dis’trʌkʃən] n.破坏,毁灭,消灭
detail [‘di:teil] n.细节;枝节;零件
detect [di’tekt] vt.察觉,发觉;侦察
detection [di’tekʃən] n.察觉,发觉;侦察
determination [ditə:mi’neiʃən] n.决心;决定;确定determine[di’tə:min]vt.决定;查明;决心
develop [di’veləp] vt.发展;形成;开发
development [di’veləpmənt] n.发展;开发;生长
device [di’vais] n.器械,装置;设计
devil [‘devl] n.魔鬼,恶魔
devise [di’vaiz] vt.设计,发明
devote [di’vəut] vt.将…奉献,致力于
dew [dju:] n.露,露水
diagram [‘daiəɡræm] n.图解,图表,简图
dial [‘daiəl] n.钟面;拨号盘vt.拨
dialect [‘daiəlekt] n.方言,土语,地方话
dialog [‘daiəlɔɡ] n.对话,对白
diameter [dai’æmitə] n.直径
diamond [‘daiəmənd] n.金钢石,钻石;菱形
diary [‘daiəri] n.日记,日记簿
dictate [dik’teit] vt.&vi.口授;命令
dictation [dik’teiʃən] n.口授笔录,听写
dictionary [‘dikʃənəri] n.词典,字典
die [dai] vi.死,死亡;灭亡
differ [‘difə] vi.不同,相异
difference [‘difərəns] n.差别;差;分歧
different [‘difərənt] a.差异的;各种的
difficult [‘difikəlt] a.困难的;难对付的
difficulty [‘difikəlti] a.困难;难事;困境
dig [diɡ] vt.掘,挖;采掘
digest [dai’dʒest] vt.消化;领会n.文摘
digital [‘didʒitəl] a.数字的,计数的
diligent [‘dilidʒənt] a.勤勉的,勤奋的
dim [dim] a.昏暗的;朦胧的
dimension [di’menʃən] n.尺寸,尺度;面积
dinner [‘dinə] n.正餐,主餐;宴会
dip [dip] vt.浸,蘸vi.浸一浸
direct [di’rekt] a.直接的;直率的
direction [di’rekʃən] n.方向,方位;指导
directly [di’rektli] ad.直接地;立即
director [di’rektə，də’rektə(r)，daɪ-] n.指导者;理事;导演dirt[də:t]n.尘,土;污物,污垢
dirty [‘də:ti] a.脏的;下流的
disable [dis’eibl] vt.使无能,使伤残
disadvantage [disəd’vɑ:ntidʒ] n.不利,不利地位
disagree [disə’ɡri:] vi.有分歧;不一致
disappear [disə’piə] vi.不见,失踪;消失
disappoint [disə’pɔint] vt.使失望,使受挫折
disaster [di’zɑ:stə] n.灾难,灾祸;天灾
disk [disk] n.圆盘,唱片;磁盘
discard [dis’kɑ:d] vt.丢弃,抛弃,遗弃
discharge [dis’tʃɑ:dʒ] vt.释放;排出n.释放
discipline [‘disiplin] n.纪律;训练vt.训练
disclose [dis’kləuz] vt.揭开,揭发;透露
discourage [dis’kʌridʒ] vt.使泄气,使灰心
discover [dis’kʌvə] vt.发现;暴露,显示
discovery [dis’kʌvəri] n.发现;被发现的事物
discuss [dis’kʌs] vt.讨论,谈论;论述
discussion [dis’kʌʃən] n.讨论,谈论;论述
disease [di’zi:z] n.病,疾病;病害
disguise [dis’ɡaiz] vi.隐瞒,掩埋n.假装
disgust [dis’ɡʌst] n.厌恶,憎恶
dish [diʃ] n.碟,盘子;菜肴
dishonour [dis’ɔnə] n.不光彩;丢脸的人
dislike [dis’laik] vt.&n.不喜爱,厌恶
dismiss [dis’mis] vt.不再考虑;解雇
disorder [dis’ɔ:də] n.混乱,杂乱;骚乱
display [dis’plei] vt.陈列,展览;显示
disposal [dis’pəuzəl] n.丢掉,处理,销毁
dispose [dis’pəuz] vi.去掉,丢掉;销毁
displease [dɪs’pli:z] vt.使不愉快,使生气
dispute [dis’pju:t] vi.争论,争执n.争论
dissatisfy [dɪs’sætɪsfaɪ] vi.使不满,使不平
dissolve [di‘zɔlv] vt.使溶解;解散
distance [‘distəns] n.距离,间距;远处
distant [‘distənt] a.在远处的,疏远的
distinct [dis’tiŋkt] a.与其他不同的
