I /ai/ pron.(主格)我
ice /ais/ n.冰，冰块vt.冰镇
ice-cream /‘ais’kri:m/ n.冰淇淋
idea /ai’diə/ n.想法;思想;意见
ideal /ai’diəl/ a.理想的;观念的
identical /ai’dentikəl/ a.完全相同的;同一的
identify /ai’dentifai/ vt.认出，识别，鉴定
idle /‘aidl/ a.空闲的;懒散的
if /if/ conj.假如，如果
ignorant /‘ignərənt/ a.不知道的;无知的
ignore /ig’nɔ:/ vt.不顾，不理，忽视
ill /il/ a.有病的;坏的ad.坏
illegal /i’li:gəl/ a.不合法的，非法的
illness /‘ilnis/ n.病，疾病
illustrate /‘iləstreit/ vt.(用图等)说明
illustration /iləs’treiʃən/ n.说明，图解;例证
image /‘imidʒ/ n.像;形象;映象
imaginary /i’mædʒinəri/ a.想象中的，假想的
imagination /imædʒi’neiʃən/n.想象;想象力;空想imagine/i’mædʒin/ vt.想象，设想;料想
imitate /‘imiteit/ vt.模仿，仿效;仿制
immediate /i’mi:djət/ a.立即的;直接的
immense /i’mens/ a.巨大的;极好的
immigrant /‘imigrənt/ n.移民a.移民的
impact /‘impækt/ n.影响，作用;冲击
impatient /im’peiʃənt/ a.不耐烦的，急躁的
implication /impli’keiʃən/ n.含义，暗示，暗指
imply /im’plai/ vt.暗示，意指
import /im’pɔ:t‘impɔ:t/ vt.&n.输入，进口
importance /im’pɔ:təns/ n.重要;重要性
important /im’pɔ:tənt/ a.重要的;有势力的
impose /im’pəuz/ vt.把…强加;征(税)
impossible /im’pɔsəbl/ a.不可能的，办不到的
impress /im’pres,‘impres/ vt.给…深刻印象
impression /im’preʃən/ n.印;印象;印记
impressive /im’presiv/ a.给人印象深刻的
improve /im’pru:v/ vt.使更好vi.改善
improvement /im’pru:vmənt/ n.改进，改善;改进处
in /in/ prep.在…里ad.进，入
inch /intʃ/ n.英寸
incident /‘insidənt/ n.发生的事;事件
incline /in’klain/ n.斜坡vt.使倾斜
include /in’klu:d/ vt.包括，包含
income /‘inkΛm/ n.收入;收益;进款
increase /in’kri:s,‘inkri:s/ vt.&vi.&n.增加
