sack /sæk/ n.袋，麻袋;开除
sacrifice /‘sækrifais/ n.&vt.牺牲;南祭
saddle /‘sædl/ n.鞍子，马鞍
sail /seil/ n.帆;船vi.航行
sake /seik/ n.缘故，理由
sample /‘sa:mpl/ n.样品;实例，标本
satellite /‘sætəlait/ n.卫星;人造卫星
satisfactory /sætis’fæktəri/ a.令人满意的，良好的
saucer /‘sɔ:sə/ n.茶托，浅碟
sausage /‘sɔsidʒ/ n.香肠，腊肠
saw /sɔ:/ n.锯子vt.锯，锯开
say /sei/ vt.比如说[用于举例]
scale /skeil/ n.天平，磅秤，秤
scale /skeil/ n.标度;比例;大小
scan /skæn/ vt.细看;浏览;扫描
scarcely /‘skeəsli/ ad.仅仅;几乎不
scatter /‘skætə/ vt.使消散;撒;散播
scenery /‘si:nəri/ n.舞台布景;风景
schedule /‘ʃedju:l/ n.时间表;计划表
scheme /ski:m/ n.计划，规划;诡计
scholar /‘skɔlə/ n.学者(尤指文学方面)
scientific /saiən’tifik/ a.科学(上)的
scissors /‘sizəz/ n.剪刀，剪子
score /skɔ:/ n.得分，比数，成绩
scout /skaut/ n.侦察员，侦察机
scrape /skreip/ vt.&vi.&n.刮，擦
scratch /skrætʃ/ vt.&vi.&n.搔;抓
screw /skru:/ n.螺旋，螺丝vt.拧紧
seal /‘si:l/ n.封蜡;印记vt.封
seal /‘si:l/ n.海豹
secondary /‘sekəndəri/ a.第二的;次要的
secretary /‘sekrətri/ n.秘书;书记;大臣
section /‘sekʃən/ n.切片;一段;部门
secure /si’kjuə/ a.安心的;安全的
security /si’kjuəriti/ n.安全，安全感
seed /si:d/ n.种(子)，籽，萌芽
seek /si:k/ vt.寻找，探索;试图
seize /si:z/ vt.抓住，逮捕;夺取
semiconductor /semikən’dΛktə/ n.半导体
senate /senit/ n.参议院，上院
senior /‘si:njə/ a.年少的;地位较高的
sensible /‘sensəbl/ a.感觉得到的;明智的
sensitive /‘sensitiv/ a.敏感的;灵敏的
separate /‘sepəreit,‘sepərit/ a.分离的;个别的
sequence /‘si:kwəns/ n.连续，继续;次序
series /‘siəri:z/ n.连续，系列;丛书
serve /sə:v/ vt.为…服务;招待
session /‘seʃən/ n.会议，一段时间
setting /‘setiŋ/ n.安装，调整;环境
settle /‘setl/ vt.安排;安放;调停
settlement /‘setlmənt/ n.解决;殖民，殖民地
severe /si’viə/ a.严格的;严厉的
sew /səu/ vt.缝制vi.缝纫
shade /ʃeid/ n.荫;遮光物vi.荫蔽
shave /ʃeiv/ vt.剃，刮vi.修面
shear /ʃiə/ vt.剪;剥夺vi.剪
shed /ʃed/ vt.流出;散发;脱落
shed /ʃed/ n.棚，小屋;贷棚
sheet /ʃi:t/ n.被单;纸张;薄板
shelf /ʃelf/ n.搁板，架子
shelter /‘ʃeltə/ n.隐蔽处;掩蔽，庇护
shield /ʃi:ld/ n.盾;防护物vt.保护
shift /ʃift/ vt.替换，转移n.转换
shiver /‘ʃivə/ vi.颤抖，哆嗦n.冷颤
shoot /ʃu:t/ vt.发射;射中n.发芽
shore /ʃɔ:/ n.滨，岸
shortage /‘ʃɔ:tidʒ/ n.不足，缺少，不足额
shortly /‘ʃɔ:tli/ ad.立刻;简短地
shot /ʃɔt/ n.发射;弹丸;射门
shower /‘ʃəuə,‘ʃauə/ n.阵雨;(一)阵;淋浴
shriek /ʃri:k/ vi.尖声喊叫n.尖叫声
sideways /‘saidweiz/ ad.斜着，斜向一边地
sightseeing /‘saitsi:iŋ/ n.观光，游览
sign /sain/ n.符号;招牌n.签名
signal /‘signəl/ n.信号vi.发信号
signature /‘signitʃə/ n.署名，签字，签名
significance /sig’nifikəns/ n.意义，意味;重要性
significant /sig’nifikənt/ n.有意义的;重要的
silence /‘sailəns/ n.沉默vt.使沉默
silent /‘sailənt/ a.沉默的;寂静无声的
silk /silk/ n.蚕丝，丝，丝织品
silly /‘sili/ a.傻的，愚蠢的
silver /‘silvə/ n.银;银子;银器
similar /‘similə/ a.相似的，类似的
similarly /‘similəli/ ad.类似地，相似地
simplicity /sim’plisiti/ n.简单，简易;朴素
simplify /‘simplifai/ vt.简化，使单纯
simply /‘simpli/ ad.简单地;朴素地
sincere /sin’siə/ a.真诚的;真挚的
singular /‘siŋgjulə/ a.单一的;非凡的
site /sait/ n.地点，地基;场所
sketch /sketʃ/ n.略图;速写;概略
skilled /skild/ a.有技能的，熟练的
skillful /‘skilful/ a.灵巧的，娴熟的
skim /skim/ vt.掠过，擦过;略读
slam /slæm/ vt.使劲关，砰地放下
sleeve /sli:v/ n.袖子，袖套
slender /‘slendə/ a.细长的;微薄的
slice /slais/ n.薄片，切片;部分
slide /slaid/ vi.滑vt.使滑动n.滑
slippery /‘slipəri/ a.滑的，使人滑跤的
slit /slit/ n.裂缝vt.切开，撕开
slope /sləup/ n.倾斜;斜面vi.倾斜
smart /sma:t/ a.巧妙的;洒脱的
soak /səuk/ vt.浸，泡vi.浸泡
soil /sɔil/ vt.弄脏vi.变脏
solar /‘səulə/ a.太阳的，日光的
sole /səul/ n.脚底，鞋底，袜底
sole /səul/ a.单独的，唯一的
solemn /‘sɔləm/ a.庄严的;隆重的
solid /‘sɔlid/ a.固体的n.固体
soluble /‘sɔljubl/ a.可溶的;可以解决的
solution /sə’lju:ʃən/ n.解决，解答;溶解
solve /‘sɔlv/ vt.解答，解释，解决
somebody /‘sΛmbədi/ pron.某人，有人
somehow /‘sΛmhau/ ad.由于某种原因
sometime /‘sΛmtaim/ ad.在某一时候;从前
somewhat /‘sΛmwɔt/ pron.一点儿ad.有点
sophisticated /sə’fistikeitid/a.老于世故的;高级的sore/sɔ:/ a.痛的;恼火的n.疮
sorrow /‘sɔrəu/ n.悲痛，悲哀，悲伤
sort /sɔ:t/ n.种类;类别vt.整理
sound /saund/ a.健康的;完好的
sour /‘sauə/ a.酸的;脾气坏的
sow /səu/ vt.播(种)vi.播种
spacecraft /‘speiskra:ft/ n.航天器，宇宙飞船
spade /speid/ n.铲，铁锹
span /spæn/ n.跨距;一段时间
spare /speə/ vt.节约a.多余的
spark /spa:k/ n.火花，火星
specialist /speʃəlist/ n.专家
specialize /‘speʃəlaiz/ vi.成为…专家;专攻
specific /spi’sifik/ a.特有的;具体的
specify /‘spesifai/ vi.指定，详细说明
specimen /‘spesimin/ n.样本，标本，样品
sphere /sfiə/ n.球，圆体;范围
spill /spil/ vt.使溢出vi.溢出
spin /spin/ vt.纺;使旋转n.旋转
spite /spait/ n.恶意,怨恨,不顾vt.刁难,欺侮
split /split/ vt.劈开vi.被劈开
spɔil /spɔil/ vt.损坏，糟蹋;宠坏
sponsor /‘spɔnsə/ n.发起者vt.发起
sportsman /‘spɔ:tsmən/ n.运动员
spray /sprei/ n.浪花;喷雾vt.喷
spring /spriŋ/ vi.跳，跃n.跳跃;泉
spur /spə:/ n.刺激物vt.刺激
square /skweə/ n.正方形;广场
squeeze /‘skwi:z/ vt.&vi.榨，挤;压榨
stability /stə’biliti/ n.稳定，稳定性，巩固
stable /‘steibl/ a.稳定的，不变的
stable /‘steibl/ n.厩，马厩，牛棚
stack /stæk/ n.堆，垛vt.堆积
staff /sta:f/ n.工作人员;参谋
stage /steidʒ/ n.舞台;戏剧;阶段
stain /stein/ vt.沾污;给…着色
stair /steə/ n.楼梯
stake /steik/ n.桩;赌金;奖品
stale /steil/ n.陈腐的;走了气的
static /‘stætikl/ a.静的;静态的
statistical /stə’tistikl/ a.统计的，统计学的
statue /‘stætju:/ n.塑像，雕像，铸像
status /‘steitəs/ n.地位，身分
steady /‘stedi/ a.稳固的vt.使稳定
steam /sti:m/ n.蒸汽vi.蒸发vt.蒸
steamer /‘sti:mə/ n.轮船，汽船
steel /‘sti:l/ n.钢，钢铁
steep /sti:p/ a.险峻的，陡峭的
steer /stiə/ vt.&vi.驾驶
stem /stem/ n.茎，(树)干vi.起源
sticky /‘stiki/ a.粘性的;胶粘的
stiff /stif/ a.硬的;僵直的
stimulate /‘stimjuleit/ vt.刺激，激励，激发
sting /stiŋ/ vt.刺;刺痛vi.&n.刺
stir /stə:/ vt.动;拨动;激动
stock /stɔk/ n.原料;库存品;股本
stocking /‘stɔkiŋ/ n.长(统)袜
stoop /stu:p/ vi.俯身;弯身n.弯腰
storage /‘stɔ:ridʒ/ n.贮藏;贮藏量
store /stɔ:/ n.贮藏;贮存品;商店
storey /‘stɔ:ri/ n.(层)楼
stove /stəuv/ n.炉，火炉，电炉
strain /‘strein/ vt.拉紧vi.尽力
strange /streindʒ/ a.陌生的;奇怪的
stranger /‘streindʒə/ n.陌生人;新来者
strap /stræp/ n.带子vt.捆扎
strategy /‘strætidʒi/ n.战略;策略
straw /strɔ:/ n.稻草，麦杆吸管
strengthen /‘streŋθən/ vt.加强，巩固
stress /stres/ n.压力;重音vt.着重
stretch /stretʃ/ vt.伸展vi.伸n.伸展
string /striŋ/ n.线，细绳;一串
strip /strip/ vt.剥;夺去n.条带
stripe /straip/ n.条纹，条子
stroke /strəuk/ n.打，击;鸣声;中风
stroke /strəuk/ vt.&n.抚，摩，捋
structural /‘strΛktʃərəl/ a.结构的，构造的
stuff /stΛf/ n.材料vt.装，填，塞
submarine /‘sΛbməri:n/ a.水下的n.潜水艇
submerge /sΛb’mə:dʒ/ vt.浸没vi.潜入水中
submit /sΛb’mit/ vt.使服从vi.服从
subsequent /‘sΛbsikwənt/ a.随后的，后来的
substance /‘sΛbstəns/ n.物质;实质;本旨
substantial /səb’stænʃəl/ a.物质的;坚固的
substitute /‘sΛbstitju:t/ n.代替人vt.用…代替
subtract /səb’trækt/ vt.减，减去，去掉
subway /‘sΛbwei/ n.地道;地下铁路
succession /sək’seʃən/ n.连续;继任，继承
successive /sək’sesiv/ a.连续的;接连的
suck /sΛk/ vt.吸，吮，啜;吸收
sufficient /sə’fiʃənt/ a.足够的，充分的
suit /sju:t/ n.起拆，诉讼【其动词形式为sue】vt.适合
sulfur /‘sΛlfə/ n.硫(磺)，硫黄
sulphur /‘sΛlfə/ n.硫(磺)，硫黄
sum /sΛm/ n.总数;金额vi.共计
summarize /‘sΛməraiz/ vt.概括，概述，总结
superficial /sju:pə’fiʃəl/ a.表面的;肤浅的
superior /sju:’piəriə/ a.较高的;优越的
supplement /‘sΛplimənt/ n.&vt.增补，补充
suppose /sə’pəuz/ vt.猜想;假定;让
supreme /sju:’pri:m/ a.最高的;最大的
surgery /‘sə:dʒəri/ n.外科，外科手术
surrender /sə’rendə/ vt.交出vi.投降
surroundings /sə’raundiŋz/n.周围的事物，环境survey/sə:’vei/ vt.俯瞰;检查;测量
survive /sə’vaiv/ vt.幸免于vi.活下来
suspect /səs’pekt,‘sΛspekt/ vt.怀疑vi.疑心
suspend /səs’pend/ vt.吊，悬;推迟
suspicion /səs’piʃən/ n.怀疑，疑心，猜疑
suspicious /səs’piʃəs/ adj.怀疑的;可疑的
sustain /səs’tein/ vt.支撑;供养;忍受
swallow /‘swɔləu/ n.燕子
swallow /‘swɔləu/ vt.&vi.吞下，咽下
sway /swei/ vi.摇动vt.摇;摇动
swear /sweə/ vt.宣(誓)vi.诅咒
sweater /‘swetə/ n.厚运动衫，毛线衫
sweep /swi:p/ vt.扫;刮起;扫过
swell /swel/ vi.膨胀;隆起;增长
swift /swift/ a.快的;反应快的
swing /swiŋ/ vi.摇摆;回转n.摇摆
switch /switʃ/ n.开关;转换vt.转换
sword /sɔ:d/ n.剑，刀
symbol /‘simbəl/ n.象征;符号，记号
sympathetic /simpə’θetik/ a.同情的;和谐的
sympathize /‘simpəθaiz/ vi.同情;同感，共鸣
synthetic /sin’θetik/ a.综合的;合成的
systematic(al) /sisti’mætik(əl)/ a.有系统的;有计划的
